team,year,Fielding_Percentage,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,ERA,WHIP,kbo_ranking
LG,20,0.985,0.277,0.349,0.428,0.778,4.39,1.42,3
KT,20,0.981,0.284,0.358,0.436,0.794,4.56,1.46,2
키움,20,0.98,0.269,0.355,0.408,0.762,4.39,1.39,5
NC,20,0.984,0.291,0.366,0.462,0.828,4.59,1.42,1
삼성,20,0.981,0.268,0.338,0.394,0.732,4.78,1.47,8
SSG,20,0.981,0.25,0.329,0.383,0.711,5.6,1.6,9
롯데,20,0.983,0.276,0.354,0.408,0.762,4.64,1.41,7
두산,20,0.984,0.293,0.365,0.427,0.792,4.4,1.46,3
한화,20,0.981,0.245,0.32,0.338,0.658,5.29,1.59,10
KIA,20,0.981,0.274,0.351,0.404,0.755,5.14,1.54,6
LG,21,0.983,0.25,0.342,0.368,0.71,3.59,1.31,3
KT,21,0.979,0.265,0.356,0.382,0.738,3.68,1.32,1
한화,21,0.977,0.237,0.334,0.341,0.675,4.68,1.49,10
SSG,21,0.981,0.261,0.354,0.421,0.775,4.84,1.51,6
키움,21,0.976,0.259,0.347,0.376,0.723,4.33,1.46,5
삼성,21,0.983,0.267,0.344,0.399,0.743,4.3,1.45,1
NC,21,0.979,0.261,0.343,0.416,0.759,4.54,1.48,7
두산,21,0.983,0.268,0.35,0.39,0.741,4.26,1.48,4
KIA,21,0.979,0.248,0.337,0.336,0.673,4.91,1.5,9
롯데,21,0.984,0.278,0.356,0.399,0.756,5.38,1.57,8
LG,22,0.983,0.269,0.346,0.396,0.742,3.33,1.27,2
SSG,22,0.98,0.254,0.336,0.396,0.732,3.9,1.29,1
KT,22,0.982,0.254,0.33,0.375,0.704,3.56,1.25,3
키움,22,0.979,0.252,0.333,0.363,0.697,3.8,1.34,3
KIA,22,0.98,0.272,0.349,0.398,0.746,4.21,1.42,5
NC,22,0.976,0.257,0.334,0.375,0.709,3.91,1.36,6
한화,22,0.975,0.245,0.319,0.352,0.671,4.82,1.51,10
삼성,22,0.978,0.27,0.334,0.387,0.721,4.33,1.44,7
두산,22,0.978,0.255,0.324,0.365,0.689,4.46,1.48,9
롯데,22,0.978,0.267,0.328,0.383,0.711,4.47,1.46,8
LG,23,0.974,0.285,0.373,0.394,0.767,3.66,1.33,1
NC,23,0.974,0.266,0.346,0.384,0.73,3.67,1.34,4
SSG,23,0.979,0.259,0.336,0.396,0.732,4.06,1.5,2
두산,23,0.979,0.257,0.336,0.372,0.708,3.9,1.36,3
KIA,23,0.982,0.26,0.331,0.367,0.698,3.82,1.44,7
키움,23,0.982,0.254,0.328,0.347,0.675,3.77,1.33,9
KT,23,0.979,0.264,0.335,0.36,0.695,4.38,1.4,6
한화,23,0.981,0.241,0.328,0.344,0.673,3.88,1.34,8
삼성,23,0.983,0.252,0.322,0.356,0.678,4.57,1.46,10
롯데,23,0.985,0.255,0.327,0.346,0.673,4.53,1.52,5
