id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,소크라테스,KIA,2.63,75,325,291,46,84,13,1,11,132,49,9,2,29,1,0,45,10,0,4,0.289,0.351,0.454,0.804,0.372,130.5,2.63,0.27
2,최형우,KIA,2.24,75,315,265,40,78,15,1,11,128,46,0,0,43,6,0,57,2,0,1,0.294,0.403,0.483,0.886,0.412,158.1,2.24,3.37
3,박찬호,KIA,1.25,76,293,265,33,72,7,1,2,87,28,17,3,18,1,0,36,10,6,3,0.272,0.317,0.328,0.645,0.302,82.0,1.25,-0.18
4,김선빈,KIA,1.12,58,219,193,18,56,9,0,0,65,19,0,0,23,1,0,12,4,2,0,0.29,0.369,0.337,0.706,0.341,107.5,1.12,-0.54
5,이우성,KIA,0.92,65,215,190,24,55,7,0,5,77,24,5,1,17,3,1,48,6,4,1,0.289,0.356,0.405,0.761,0.351,115.6,0.92,1.13
6,이창진,KIA,0.9,52,161,131,23,32,2,2,2,44,17,7,1,26,2,0,22,2,1,1,0.244,0.375,0.336,0.711,0.346,112.6,0.9,0.59
7,김도영,KIA,0.89,16,72,68,11,24,6,0,2,36,7,7,2,3,0,0,15,2,1,0,0.353,0.38,0.529,0.91,0.414,158.7,0.89,0.01
8,류지혁,KIA,0.88,66,253,220,28,59,6,1,0,67,17,4,2,27,3,1,43,5,2,1,0.268,0.355,0.305,0.659,0.32,94.2,0.88,-1.37
9,나성범,KIA,0.87,14,61,59,11,19,4,0,6,41,13,0,0,2,0,0,8,0,0,0,0.322,0.344,0.695,1.039,0.463,194.3,0.87,0.16
10,고종욱,KIA,0.68,62,159,150,18,44,13,0,1,60,16,2,1,8,0,0,36,2,0,1,0.293,0.327,0.4,0.727,0.34,107.5,0.68,-0.07
11,변우혁,KIA,0.39,48,141,128,15,29,2,0,6,49,20,0,0,12,1,0,41,3,0,0,0.227,0.298,0.383,0.681,0.32,94.6,0.39,0.56
12,한준수,KIA,0.19,6,8,8,2,3,1,0,1,7,3,0,0,0,0,0,3,0,0,0,0.375,0.375,0.875,1.25,0.554,257.3,0.19,0.04
13,김규성,KIA,0.04,57,94,85,16,18,3,1,1,26,7,4,2,6,1,0,29,0,2,0,0.212,0.272,0.306,0.578,0.27,60.8,0.04,-1.16
14,홍종표,KIA,0.01,23,5,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.4,0.0,0.4,0.291,73.2,0.01,0.02
15,윤도현,KIA,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.01,-0.01
21,최정용,KIA,-0.03,16,15,12,2,1,1,0,0,2,0,1,0,2,0,0,4,0,1,0,0.083,0.214,0.167,0.381,0.186,1.6,-0.03,-0.22
22,최원준,KIA,-0.04,23,97,87,12,21,2,0,0,23,5,3,0,8,0,0,15,2,2,0,0.241,0.305,0.264,0.57,0.275,62.9,-0.04,-0.29
23,김선우,KIA,-0.07,5,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,0.137,-31.9,-0.07,-0.2
24,신범수,KIA,-0.13,36,100,88,7,15,3,0,2,24,10,0,0,7,2,0,19,3,2,1,0.17,0.245,0.273,0.518,0.245,42.4,-0.13,-1.0
25,황대인,KIA,-0.13,42,149,136,14,33,4,0,3,46,22,0,0,9,2,2,36,6,0,2,0.243,0.295,0.338,0.634,0.294,76.8,-0.13,0.4
26,김석환,KIA,-0.29,4,16,14,1,1,0,0,0,1,2,0,0,1,0,0,7,1,1,0,0.071,0.133,0.071,0.205,0.105,-53.6,-0.29,-0.12
27,한승택,KIA,-0.34,40,96,78,5,11,2,0,0,13,3,0,0,10,2,0,32,0,6,0,0.141,0.256,0.167,0.422,0.209,17.5,-0.34,-1.25
28,김호령,KIA,-0.35,46,64,60,6,10,4,0,0,14,4,1,0,1,1,0,23,1,2,0,0.167,0.194,0.233,0.427,0.197,8.9,-0.35,-0.72
29,주효상,KIA,-0.49,19,36,32,2,2,0,0,0,2,1,0,0,2,0,0,10,1,2,0,0.063,0.118,0.063,0.18,0.094,-61.6,-0.49,-0.46
