id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,박동원,LG,3.31,77,303,254,38,69,13,1,15,129,52,0,0,36,4,2,56,4,3,6,0.272,0.363,0.508,0.871,0.389,148.7,3.31,0.94
2,홍창기,LG,3.13,80,373,301,59,100,25,2,0,129,38,12,14,48,18,0,55,5,3,3,0.332,0.449,0.429,0.877,0.417,160.1,3.13,2.39
3,오스틴,LG,2.63,78,335,303,48,91,19,1,11,145,57,5,2,26,3,0,50,6,0,3,0.3,0.358,0.479,0.837,0.386,144.0,2.63,2.01
4,오지환,LG,2.21,68,289,238,34,62,12,2,2,84,36,6,4,42,7,0,58,0,1,1,0.261,0.385,0.353,0.738,0.359,120.8,2.21,1.29
5,문성주,LG,2.19,77,322,273,48,85,10,3,1,104,28,16,9,42,2,0,24,5,3,2,0.311,0.404,0.381,0.785,0.375,130.8,2.19,0.21
6,문보경,LG,1.92,81,341,286,45,82,15,3,2,109,42,5,3,42,1,2,54,4,9,3,0.287,0.377,0.381,0.758,0.35,114.7,1.92,0.97
7,김민성,LG,1.42,70,214,184,25,53,10,0,4,75,31,2,1,19,4,0,34,6,5,2,0.288,0.364,0.408,0.771,0.356,121.1,1.42,-0.64
8,박해민,LG,1.16,81,323,277,47,80,9,1,3,100,29,10,7,29,1,0,44,3,16,0,0.289,0.358,0.361,0.719,0.329,100.4,1.16,-0.94
9,김현수,LG,0.99,73,316,275,30,80,14,1,2,102,49,2,0,35,1,3,32,5,1,4,0.291,0.368,0.371,0.739,0.349,114.1,0.99,1.15
10,신민재,LG,0.74,66,110,96,24,33,1,0,0,34,7,21,7,9,0,0,10,3,5,0,0.344,0.4,0.354,0.754,0.35,113.2,0.74,1.44
11,손호영,LG,0.22,7,11,11,4,4,0,0,1,7,5,1,0,0,0,0,3,1,0,0,0.364,0.364,0.636,1.0,0.455,198.1,0.22,0.25
12,이천웅,LG,0.16,4,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.958,526.3,0.16,0.23
13,이주형,LG,0.1,15,14,13,2,4,2,0,0,6,2,0,0,0,1,0,5,0,0,0,0.308,0.357,0.462,0.819,0.383,138.3,0.1,-0.02
21,허도환,LG,-0.01,14,20,15,1,2,0,0,0,2,2,0,0,2,2,0,3,3,1,0,0.133,0.316,0.133,0.449,0.244,41.6,-0.01,0.1
22,이재원,LG,-0.01,34,80,69,9,13,3,0,3,25,12,0,1,8,1,2,29,0,0,2,0.188,0.275,0.362,0.637,0.285,75.5,-0.01,0.11
23,송대현,LG,-0.07,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.07,0.0
24,김주성,LG,-0.07,4,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.333,0.0,0.333,0.253,48.7,-0.07,-0.0
25,김범석,LG,-0.1,2,6,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.167,0.0,0.167,0.121,-42.3,-0.1,-0.01
26,김기연,LG,-0.15,21,31,25,1,3,0,0,0,3,2,1,0,5,0,0,6,0,1,0,0.12,0.267,0.12,0.387,0.21,17.9,-0.15,-0.05
27,서건창,LG,-0.21,31,103,87,14,18,5,2,0,27,12,3,3,10,0,0,11,5,3,3,0.207,0.28,0.31,0.59,0.271,59.4,-0.21,-1.0
28,송찬의,LG,-0.21,18,21,17,2,1,1,0,0,2,1,1,0,4,0,0,6,0,0,0,0.059,0.238,0.118,0.356,0.202,14.3,-0.21,-0.24
29,정주현,LG,-0.39,40,43,38,5,8,0,0,0,8,8,1,4,2,0,0,8,0,1,1,0.211,0.244,0.211,0.454,0.212,18.6,-0.39,-0.31
