id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,손아섭,NC,2.41,75,333,302,46,100,23,3,2,135,45,8,0,23,2,0,44,7,1,5,0.331,0.377,0.447,0.824,0.383,137.6,2.41,1.23
2,박건우,NC,2.12,69,299,255,36,73,12,2,7,110,41,6,4,36,6,0,41,9,0,2,0.286,0.385,0.431,0.816,0.384,137.8,2.12,0.69
3,박민우,NC,1.86,63,264,235,34,73,10,1,1,88,24,15,4,20,6,2,35,4,1,2,0.311,0.376,0.374,0.751,0.356,120.0,1.86,0.57
4,서호철,NC,1.71,68,262,242,35,75,13,3,2,100,29,4,3,12,3,0,33,7,2,3,0.31,0.346,0.413,0.759,0.353,117.0,1.71,-0.06
5,김주원,NC,1.62,77,287,248,34,59,5,2,6,86,30,10,2,28,8,1,77,3,3,0,0.238,0.335,0.347,0.681,0.324,96.5,1.62,0.12
6,마틴,NC,1.61,54,231,199,26,57,9,2,7,91,34,5,1,29,0,0,54,3,0,3,0.286,0.372,0.457,0.83,0.384,137.5,1.61,0.26
7,도태훈,NC,1.47,61,172,138,27,39,4,0,4,55,18,1,1,22,8,0,25,4,3,1,0.283,0.408,0.399,0.807,0.382,136.2,1.47,0.23
8,권희동,NC,1.14,36,143,111,14,30,7,0,3,46,16,2,0,25,3,0,15,2,1,3,0.27,0.409,0.414,0.823,0.387,139.7,1.14,-0.01
9,박세혁,NC,0.92,66,219,187,28,40,7,3,4,65,23,1,1,24,4,0,35,3,4,0,0.214,0.316,0.348,0.664,0.312,87.9,0.92,-0.85
10,윤형준,NC,0.6,45,129,115,14,32,10,1,3,53,17,0,1,9,2,0,25,3,2,1,0.278,0.339,0.461,0.8,0.363,122.9,0.6,0.31
11,김성욱,NC,0.47,43,116,98,19,22,5,0,4,39,10,4,1,10,4,0,36,4,3,1,0.224,0.319,0.398,0.717,0.328,98.2,0.47,-0.35
12,천재환,NC,0.42,63,158,143,12,37,6,1,2,51,16,2,3,9,3,0,38,4,2,1,0.259,0.314,0.357,0.671,0.314,90.3,0.42,-0.53
13,박대온,NC,0.12,2,6,5,2,2,1,0,0,3,1,0,0,0,1,0,1,0,0,0,0.4,0.5,0.6,1.1,0.51,225.1,0.12,0.04
18,전사민,NC,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.02,-0.05
19,박석민,NC,-0.04,28,100,82,9,16,1,0,1,20,7,0,0,14,2,0,20,4,1,1,0.195,0.323,0.244,0.567,0.286,70.5,-0.04,-0.81
20,안중열,NC,-0.04,44,95,79,5,13,2,0,2,21,11,0,0,11,1,0,28,2,2,2,0.165,0.269,0.266,0.535,0.256,49.4,-0.04,-0.2
21,오장한,NC,-0.04,3,8,7,2,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0.143,0.25,0.143,0.393,0.211,19.4,-0.04,-0.06
22,오태양,NC,-0.09,21,3,3,4,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,,-0.09,-0.09
23,최보성,NC,-0.12,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.12,0.0
24,김수윤,NC,-0.13,9,9,9,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0.111,0.111,0.111,0.222,0.106,-51.9,-0.13,-0.18
25,최정원,NC,-0.13,9,11,11,1,1,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0.091,0.091,0.182,0.273,0.122,-42.2,-0.13,0.09
26,박영빈,NC,-0.16,9,5,5,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.16,-0.09
27,오영수,NC,-0.21,33,119,99,11,20,4,1,3,35,14,2,2,10,3,0,31,3,4,3,0.202,0.287,0.354,0.641,0.29,72.4,-0.21,-0.6
28,김한별,NC,-0.22,37,37,36,1,7,0,1,0,9,2,0,1,0,0,0,9,1,1,0,0.194,0.194,0.25,0.444,0.201,12.7,-0.22,-0.2
29,한석현,NC,-0.27,25,61,55,5,12,1,0,0,13,2,2,1,4,0,0,17,2,2,0,0.218,0.271,0.236,0.508,0.242,41.7,-0.27,-0.56
