id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,최정,SSG,3.81,73,314,267,64,83,14,0,19,154,58,5,2,32,9,2,45,7,1,5,0.311,0.396,0.577,0.973,0.435,167.4,3.81,2.02
2,에레디아,SSG,2.91,76,324,295,43,100,17,0,10,147,56,7,7,25,3,1,47,8,1,0,0.339,0.396,0.498,0.895,0.414,156.5,2.91,3.1
3,박성한,SSG,2.0,77,316,273,35,73,11,0,5,99,28,2,0,40,0,1,31,4,0,3,0.267,0.358,0.363,0.72,0.344,109.3,2.0,0.98
4,최지훈,SSG,1.45,67,305,279,41,75,13,4,2,102,23,9,0,19,2,0,33,1,4,1,0.269,0.319,0.366,0.685,0.319,95.2,1.45,0.44
5,추신수,SSG,1.15,55,231,185,34,45,6,0,7,72,20,5,2,37,9,0,40,4,0,0,0.243,0.394,0.389,0.783,0.378,130.3,1.15,0.51
6,최주환,SSG,1.15,73,268,244,27,58,15,0,14,115,39,0,0,20,2,2,57,3,1,1,0.238,0.3,0.471,0.771,0.347,108.1,1.15,1.0
7,김민식,SSG,0.87,71,192,161,18,38,7,1,3,56,19,0,0,21,2,1,36,5,7,1,0.236,0.33,0.348,0.678,0.311,87.0,0.87,-0.88
8,김강민,SSG,0.65,27,66,53,12,17,0,0,2,23,3,0,0,11,0,0,16,1,1,1,0.321,0.431,0.434,0.865,0.403,147.6,0.65,0.25
9,하재훈,SSG,0.64,14,43,38,6,13,2,1,2,23,7,1,0,4,1,0,13,0,0,0,0.342,0.419,0.605,1.024,0.464,191.1,0.64,0.05
10,강진성,SSG,0.55,31,82,73,6,21,6,1,1,32,10,0,0,5,3,0,14,2,1,0,0.288,0.358,0.438,0.796,0.369,128.5,0.55,-0.31
11,김성현,SSG,0.42,47,123,108,15,30,8,0,0,38,8,0,0,9,0,0,14,3,6,0,0.278,0.333,0.352,0.685,0.312,89.7,0.42,-0.33
12,안상현,SSG,0.38,31,42,35,6,11,3,0,0,14,2,2,0,5,0,0,8,1,2,0,0.314,0.4,0.4,0.8,0.365,125.9,0.38,-0.03
13,최준우,SSG,0.21,20,45,41,4,13,1,0,0,14,5,0,1,4,0,0,7,0,0,0,0.317,0.378,0.341,0.719,0.35,114.9,0.21,-0.02
14,오태곤,SSG,0.12,75,177,155,16,35,6,1,4,55,18,9,0,11,3,0,47,2,5,3,0.226,0.285,0.355,0.64,0.291,72.6,0.12,-0.53
15,김정민,SSG,0.05,6,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.958,534.2,0.05,0.0
23,조형우,SSG,-0.08,32,61,54,5,9,1,1,1,15,4,0,0,4,1,0,11,1,2,0,0.167,0.237,0.278,0.515,0.239,38.2,-0.08,-0.16
24,김건웅,SSG,-0.08,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.08,-0.02
25,김찬형,SSG,-0.08,11,17,16,2,3,0,0,0,3,0,0,0,1,0,0,3,1,0,0,0.188,0.235,0.188,0.423,0.212,19.6,-0.08,-0.12
26,고명준,SSG,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.1,-0.05
27,최항,SSG,-0.11,9,14,12,2,2,0,0,1,5,3,0,0,1,0,0,6,0,1,0,0.167,0.231,0.417,0.647,0.273,53.2,-0.11,-0.05
28,최상민,SSG,-0.15,35,38,33,4,8,0,0,0,8,3,1,1,2,0,0,6,0,2,1,0.242,0.278,0.242,0.52,0.24,39.0,-0.15,-0.47
29,전의산,SSG,-0.18,38,112,99,8,19,4,0,3,32,16,0,2,11,2,0,30,1,0,0,0.192,0.286,0.323,0.609,0.293,72.4,-0.18,0.15
30,최경모,SSG,-0.19,21,19,19,5,2,0,0,0,2,1,2,0,0,0,0,5,0,0,0,0.105,0.105,0.105,0.211,0.101,-56.5,-0.19,-0.17
