id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,노시환,한화,4.53,78,354,309,51,98,18,0,19,173,57,2,0,42,1,3,64,7,0,2,0.317,0.398,0.56,0.958,0.434,170.0,4.53,2.84
2,최재훈,한화,2.1,68,245,193,11,52,8,0,1,63,25,0,1,34,13,1,25,4,3,2,0.269,0.409,0.326,0.736,0.36,121.1,2.1,0.6
3,채은성,한화,2.09,74,327,289,46,84,13,0,11,130,47,0,0,28,9,5,55,9,0,1,0.291,0.37,0.45,0.82,0.379,132.9,2.09,1.98
4,이진영,한화,1.02,56,200,161,32,40,9,0,4,61,24,2,0,31,2,0,55,3,2,4,0.248,0.369,0.379,0.748,0.353,115.5,1.02,1.09
5,정은원,한화,0.66,76,317,265,38,59,7,0,1,69,18,5,3,43,3,0,39,4,5,1,0.223,0.337,0.26,0.597,0.296,77.2,0.66,-0.89
6,문현빈,한화,0.45,73,249,224,18,56,9,1,3,76,26,4,1,15,3,1,47,2,4,3,0.25,0.302,0.339,0.641,0.298,78.5,0.45,0.08
7,김태연,한화,0.44,46,123,108,9,29,7,0,2,42,15,2,0,10,1,0,35,0,0,4,0.269,0.325,0.389,0.714,0.332,101.8,0.44,-0.38
8,오선진,한화,0.35,38,106,86,10,20,5,0,0,25,7,1,0,13,3,0,17,5,2,2,0.233,0.346,0.291,0.637,0.31,86.5,0.35,0.13
9,이도윤,한화,0.31,40,131,114,12,28,7,0,0,35,3,4,0,7,2,0,19,3,8,0,0.246,0.301,0.307,0.608,0.276,63.6,0.31,-0.75
10,권광민,한화,0.07,26,40,35,5,7,0,0,2,13,7,2,0,3,1,0,12,0,1,0,0.2,0.282,0.371,0.654,0.3,78.0,0.07,-0.12
11,김인환,한화,0.04,68,251,227,26,55,13,0,5,83,29,1,0,22,1,1,63,4,0,1,0.242,0.311,0.366,0.676,0.318,92.1,0.04,-0.22
12,장운호,한화,0.03,4,11,9,1,2,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0.222,0.364,0.222,0.586,0.306,84.1,0.03,-0.2
13,노수광,한화,0.03,30,94,77,6,17,5,0,0,22,4,2,1,13,0,0,27,3,2,2,0.221,0.326,0.286,0.612,0.294,76.2,0.03,-0.83
14,이민준,한화,0.02,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.363,121.7,0.02,0.03
20,장지승,한화,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.02,-0.0
21,허관회,한화,-0.05,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.05,0.0
22,이명기,한화,-0.05,3,11,10,1,2,0,0,0,2,2,1,0,1,0,0,3,0,0,0,0.2,0.273,0.2,0.473,0.24,39.0,-0.05,0.1
23,이원석,한화,-0.05,56,121,101,15,18,1,1,0,21,8,9,2,19,1,0,27,3,0,0,0.178,0.314,0.208,0.522,0.272,61.4,-0.05,-0.97
24,유상빈,한화,-0.08,3,8,6,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.25,0.0,0.25,0.186,0.5,-0.08,-0.11
25,김건,한화,-0.15,5,12,12,1,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0.167,0.167,0.167,0.333,0.16,-15.9,-0.15,-0.12
26,이성곤,한화,-0.21,8,16,14,2,2,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0.143,0.2,0.143,0.343,0.165,-12.5,-0.21,-0.04
27,장진혁,한화,-0.22,31,95,86,10,19,2,0,0,21,7,3,2,8,0,0,21,2,0,1,0.221,0.284,0.244,0.528,0.261,53.3,-0.22,-0.45
28,윌리엄스,한화,-0.23,10,44,43,3,7,3,0,1,13,3,0,0,0,1,0,13,2,0,0,0.163,0.182,0.302,0.484,0.223,26.4,-0.23,-0.73
29,박상언,한화,-0.24,43,87,76,9,14,1,0,1,18,7,0,1,7,0,0,23,1,2,2,0.184,0.247,0.237,0.484,0.231,32.0,-0.24,-1.12
30,유로결,한화,-0.39,24,46,42,4,7,1,0,0,8,4,1,0,1,1,0,8,3,1,1,0.167,0.2,0.19,0.391,0.186,2.2,-0.39,-0.66
