id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,김혜성,키움,3.87,85,375,339,64,110,19,3,5,150,35,20,2,32,1,1,51,3,0,3,0.324,0.381,0.442,0.824,0.385,138.9,3.87,0.33
2,이정후,키움,3.57,83,378,324,49,101,23,2,6,146,44,6,2,46,3,6,23,1,0,5,0.312,0.397,0.451,0.847,0.391,142.5,3.57,0.93
3,러셀,키움,1.42,59,239,220,20,63,11,1,4,88,42,1,0,17,1,1,39,5,0,1,0.286,0.339,0.4,0.739,0.346,112.9,1.42,1.45
4,김휘집,키움,1.17,66,250,215,22,54,14,0,4,80,22,0,0,27,1,0,59,4,5,2,0.251,0.335,0.372,0.707,0.329,100.9,1.17,-1.5
5,이형종,키움,0.62,77,302,254,29,57,20,1,3,88,30,0,0,32,12,0,65,10,2,2,0.224,0.337,0.346,0.683,0.328,98.6,0.62,-1.18
6,임지열,키움,0.62,56,176,149,14,37,6,0,4,55,25,0,0,21,3,0,45,3,2,1,0.248,0.351,0.369,0.72,0.341,110.7,0.62,0.54
7,이지영,키움,0.6,68,204,186,21,49,8,1,0,59,7,1,1,10,1,0,34,2,7,0,0.263,0.305,0.317,0.622,0.288,71.4,0.6,-1.56
8,김동헌,키움,0.49,57,136,114,13,27,4,2,0,35,11,0,0,10,7,0,25,3,2,3,0.237,0.328,0.307,0.635,0.305,82.4,0.49,-0.48
9,송성문,키움,0.45,47,183,159,10,39,4,2,2,53,19,0,0,20,0,1,13,5,3,1,0.245,0.328,0.333,0.661,0.311,87.9,0.45,-0.56
10,이용규,키움,0.24,28,102,84,11,21,0,2,0,25,7,0,1,15,1,0,12,2,1,1,0.25,0.366,0.298,0.664,0.326,97.8,0.24,-0.16
11,임병욱,키움,0.12,57,150,142,19,35,6,1,4,55,24,4,0,4,1,0,52,1,1,2,0.246,0.269,0.387,0.656,0.299,82.7,0.12,-0.77
12,예진원,키움,0.06,6,12,11,0,4,1,0,0,5,3,0,0,0,0,0,2,0,1,0,0.364,0.364,0.455,0.818,0.351,113.9,0.06,0.07
13,김건희,키움,0.02,5,5,4,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.25,0.4,0.25,0.65,0.337,107.8,0.02,-0.05
26,이승원,키움,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.05,-0.01
27,송재선,키움,-0.05,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.05,-0.01
28,김재현,키움,-0.05,4,6,5,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0.2,0.2,0.2,0.4,0.16,-14.2,-0.05,-0.11
29,이병규,키움,-0.08,7,17,17,3,4,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0.235,0.235,0.235,0.471,0.225,30.2,-0.08,-0.21
30,김수환,키움,-0.1,29,50,43,3,7,2,0,1,12,7,0,0,3,3,0,19,1,1,0,0.163,0.265,0.279,0.544,0.262,56.2,-0.1,-0.07
