id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,안치홍,롯데,1.36,74,304,261,29,73,9,1,3,93,36,3,0,29,6,2,31,10,5,3,0.28,0.361,0.356,0.718,0.337,104.5,1.36,1.4
2,노진혁,롯데,1.11,57,207,181,25,46,14,0,3,69,26,7,0,19,2,0,48,2,2,3,0.254,0.327,0.381,0.708,0.33,99.7,1.11,1.46
3,박승욱,롯데,0.94,65,168,148,19,41,9,1,0,52,13,9,1,15,1,0,42,4,4,0,0.277,0.348,0.351,0.699,0.328,97.5,0.94,0.49
4,윤동희,롯데,0.87,55,202,187,19,60,4,1,2,72,21,1,4,11,0,0,37,4,1,3,0.321,0.353,0.385,0.738,0.347,111.0,0.87,0.31
5,유강남,롯데,0.72,74,252,219,26,51,8,0,5,74,27,0,1,25,3,0,38,9,2,3,0.233,0.316,0.338,0.654,0.31,87.0,0.72,-0.34
6,전준우,롯데,0.67,72,292,257,36,70,8,2,6,100,34,6,1,26,4,3,33,4,0,5,0.272,0.343,0.389,0.732,0.34,107.4,0.67,0.35
7,안권수,롯데,0.66,39,150,135,20,38,3,1,2,49,16,10,5,12,0,0,20,2,1,2,0.281,0.336,0.363,0.699,0.329,99.0,0.66,0.44
8,고승민,롯데,0.59,69,259,215,32,52,12,2,2,74,22,7,1,35,1,3,55,1,5,3,0.242,0.347,0.344,0.691,0.321,93.4,0.59,0.46
9,김민석,롯데,0.58,70,242,215,34,56,12,0,2,74,24,11,3,15,2,1,56,3,8,2,0.26,0.312,0.344,0.656,0.3,79.0,0.58,-0.83
10,렉스,롯데,0.41,55,234,203,20,50,4,2,4,70,30,0,1,28,1,2,54,3,0,2,0.246,0.338,0.345,0.682,0.324,96.1,0.41,0.59
11,정보근,롯데,0.22,26,31,25,4,7,2,0,0,9,4,1,0,4,0,0,4,0,2,0,0.28,0.379,0.36,0.739,0.335,102.0,0.22,-0.15
12,이학주,롯데,0.14,57,59,54,13,13,1,0,1,17,7,0,0,5,0,0,12,0,0,0,0.241,0.305,0.315,0.62,0.299,78.9,0.14,-0.18
13,김민수,롯데,0.1,19,44,36,4,8,1,1,0,11,2,0,0,7,0,0,14,2,1,0,0.222,0.349,0.306,0.654,0.315,88.5,0.1,-0.33
14,이정훈,롯데,0.06,2,5,5,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.2,0.2,0.8,1.0,0.426,177.7,0.06,-0.02
15,국해성,롯데,0.05,5,9,7,0,2,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0.286,0.444,0.286,0.73,0.374,129.1,0.05,-0.13
16,한동희,롯데,0.05,64,246,222,20,50,10,0,4,72,26,1,2,17,1,0,40,12,1,5,0.225,0.278,0.324,0.602,0.283,67.7,0.05,-1.85
17,장두성,롯데,0.05,6,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.363,120.4,0.05,-0.07
21,윤수녕,롯데,-0.02,2,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.239,37.2,-0.02,-0.05
22,서동욱,롯데,-0.04,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.04,-0.12
23,손성빈,롯데,-0.13,12,18,17,2,2,1,0,0,3,0,0,0,1,0,0,4,1,0,0,0.118,0.167,0.176,0.343,0.168,-11.5,-0.13,-0.09
24,지시완,롯데,-0.14,6,10,8,0,1,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0.125,0.125,0.125,0.25,0.096,-60.6,-0.14,-0.19
25,정훈,롯데,-0.15,28,49,42,7,9,4,0,0,13,5,0,0,5,0,1,10,0,2,0,0.214,0.298,0.31,0.607,0.272,59.4,-0.15,0.69
26,황성빈,롯데,-0.29,43,133,116,15,27,3,1,0,32,6,4,4,10,0,0,22,0,7,0,0.233,0.294,0.276,0.57,0.263,53.3,-0.29,-0.49
27,신윤후,롯데,-0.31,22,20,19,2,1,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0.053,0.1,0.053,0.153,0.086,-66.6,-0.31,-0.09
