id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,강민호,삼성,2.79,70,284,251,35,77,11,0,11,121,42,5,0,26,4,3,38,7,1,2,0.307,0.378,0.482,0.86,0.394,141.1,2.79,0.93
2,구자욱,삼성,1.76,56,238,206,30,62,20,1,3,93,27,5,2,27,1,1,34,1,1,3,0.301,0.38,0.451,0.831,0.384,137.2,1.76,0.7
3,김지찬,삼성,1.65,62,252,211,45,60,3,1,1,68,10,10,1,31,6,0,25,0,4,0,0.284,0.391,0.322,0.713,0.348,112.3,1.65,0.12
4,피렐라,삼성,1.47,79,354,331,39,93,16,1,9,138,50,4,3,19,3,2,43,12,0,1,0.281,0.325,0.417,0.742,0.344,108.3,1.47,0.05
5,김현준,삼성,0.98,45,195,175,21,53,5,1,2,66,12,3,2,12,3,0,40,3,4,1,0.303,0.356,0.377,0.733,0.342,108.5,0.98,0.03
6,이원석,삼성,0.91,19,72,58,6,21,4,0,1,28,10,0,1,14,0,0,8,1,0,0,0.362,0.486,0.483,0.969,0.458,187.6,0.91,0.39
7,김동엽,삼성,0.45,39,124,109,14,29,3,0,5,47,15,1,1,11,2,0,19,5,0,2,0.266,0.339,0.431,0.77,0.357,116.1,0.45,-0.26
8,김재성,삼성,0.43,27,70,57,5,13,3,0,1,19,6,0,0,10,3,1,17,2,0,0,0.228,0.371,0.333,0.705,0.342,108.4,0.43,0.24
9,이재현,삼성,0.42,80,306,273,32,62,11,1,7,96,29,5,1,21,1,0,59,7,10,1,0.227,0.284,0.352,0.635,0.29,71.3,0.42,-0.56
10,김태군,삼성,0.18,49,143,125,7,32,4,1,1,41,18,0,0,10,4,1,11,8,3,1,0.256,0.329,0.328,0.657,0.308,84.8,0.18,-0.75
11,안주형,삼성,0.08,31,44,38,6,10,1,0,0,11,3,0,0,4,0,0,11,2,1,1,0.263,0.326,0.289,0.615,0.293,75.1,0.08,-0.3
12,윤정빈,삼성,0.07,17,26,22,3,5,0,0,1,8,2,1,0,3,1,0,8,1,0,0,0.227,0.346,0.364,0.71,0.342,106.5,0.07,0.18
13,김성윤,삼성,0.06,52,78,69,11,15,0,3,0,21,7,6,1,6,0,0,12,0,1,2,0.217,0.273,0.304,0.577,0.268,58.9,0.06,0.18
14,이해승,삼성,0.03,9,4,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.5,0.75,0.336,107.5,0.03,-0.02
15,김민수,삼성,0.01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.01,-0.05
23,이상민,삼성,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.02,-0.0
24,이태훈,삼성,-0.03,11,14,13,1,3,1,0,0,4,0,0,0,1,0,0,7,0,0,0,0.231,0.286,0.308,0.593,0.285,71.7,-0.03,-0.07
25,송준석,삼성,-0.04,7,8,8,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.239,37.8,-0.04,-0.11
26,류지혁,삼성,-0.07,6,26,22,6,4,1,0,0,5,3,1,0,1,1,0,6,0,0,2,0.182,0.231,0.227,0.458,0.219,25.5,-0.07,-0.29
27,이병헌,삼성,-0.08,10,18,17,1,3,0,0,0,3,1,0,0,1,0,0,7,0,0,0,0.176,0.222,0.176,0.399,0.2,11.8,-0.08,-0.28
28,김태훈,삼성,-0.12,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-125.7,-0.12,-0.04
29,김재상,삼성,-0.13,15,19,17,0,2,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0.118,0.211,0.118,0.328,0.177,-4.2,-0.13,-0.25
30,공민규,삼성,-0.14,22,33,31,0,6,1,1,0,9,2,0,0,2,0,0,13,1,0,0,0.194,0.242,0.29,0.533,0.252,48.8,-0.14,-0.02
