id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa
1,안우진,키움,3.56,17,0,0,17,6,5,0,0,107.0,32,29,433,88,22,0,3,24,0,1,130,0,8,2.44,2.01,1.05,163.7,193.8,3.56,2.25
2,최원태,키움,2.95,16,0,0,16,6,4,0,0,97.1,34,33,400,84,11,0,7,27,0,5,77,0,5,3.05,3.71,1.14,130.9,105.6,2.95,1.78
3,후라도,키움,2.65,18,0,0,18,5,8,0,0,111.2,45,36,472,106,14,0,5,26,0,8,91,0,4,2.9,3.24,1.18,137.7,121.6,2.65,1.18
4,임창민,키움,1.41,32,0,0,0,1,1,13,1,29.1,8,6,126,27,2,0,1,9,2,2,24,0,0,1.84,3.1,1.23,217.0,127.5,1.41,0.4
5,김재웅,키움,1.06,38,0,0,0,1,3,5,12,34.0,13,13,140,32,5,0,1,11,1,0,24,0,0,3.44,3.23,1.27,116.1,122.7,1.06,1.42
6,정찬헌,키움,1.01,11,1,0,11,2,5,0,0,59.1,27,26,231,49,6,3,4,8,1,2,29,0,0,3.94,3.73,0.96,101.3,105.7,1.01,0.57
7,양현,키움,0.78,37,0,0,0,0,3,0,7,35.2,14,14,155,46,6,1,1,12,1,0,12,1,0,3.53,3.99,1.63,113.1,99.8,0.78,-0.54
8,김성진,키움,0.74,34,0,0,0,1,0,0,5,30.1,11,11,134,25,3,0,1,19,1,1,20,0,0,3.26,4.36,1.45,122.4,91.0,0.74,0.23
9,이명종,키움,0.47,20,0,0,0,4,2,0,0,24.2,10,9,110,28,4,0,1,8,0,3,14,0,0,3.28,4.1,1.46,121.6,96.7,0.47,-0.2
10,맥키니,키움,0.43,4,0,0,4,1,3,0,0,20.0,8,8,86,20,8,0,0,9,0,0,12,0,3,3.6,3.52,1.45,110.9,113.4,0.43,0.16
11,장재영,키움,0.42,9,0,0,7,1,2,0,0,30.0,15,13,135,28,5,0,1,23,0,0,30,1,4,3.9,4.11,1.7,102.4,96.2,0.42,-0.04
12,문성현,키움,0.35,8,0,0,0,1,0,0,1,8.2,2,2,37,8,2,0,0,3,0,0,4,0,1,2.08,3.49,1.27,192.3,114.7,0.35,-0.04
13,요키시,키움,0.32,12,0,0,12,5,3,0,0,65.2,37,32,286,82,14,1,3,14,1,3,51,0,1,4.39,3.14,1.46,91.1,125.2,0.32,-0.13
14,윤정현,키움,0.13,5,0,0,0,0,0,0,0,6.0,2,1,26,5,0,0,0,6,0,0,2,0,1,1.5,5.71,1.83,266.3,70.2,0.13,-0.12
15,이승호,키움,0.09,4,0,0,1,0,0,0,1,5.0,3,3,24,5,3,0,1,4,0,0,1,0,0,5.4,7.97,1.8,74.0,49.1,0.09,-0.05
16,윤석원,키움,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,0,0,0,0,0,1,0.0,3.37,0.0,,119.3,0.04,0.0
17,박승주,키움,-0.01,2,0,0,0,0,0,0,0,1.0,1,0,8,2,0,0,0,2,0,0,0,0,0,0.0,9.37,4.0,,42.7,-0.01,-0.03
18,김준형,키움,-0.05,8,0,0,0,0,0,0,0,7.2,6,6,36,4,3,0,0,6,0,3,5,0,0,7.04,5.59,1.3,56.7,71.7,-0.05,-0.03
19,김선기,키움,-0.11,9,0,0,0,0,0,1,0,9.2,8,6,45,12,5,0,0,4,0,0,9,0,0,5.59,2.75,1.66,71.5,144.4,-0.11,0.31
20,이종민,키움,-0.12,2,0,0,0,0,0,0,0,1.0,3,3,9,4,1,0,0,2,0,0,1,0,0,27.0,7.37,6.0,14.8,54.1,-0.12,-0.02
21,김건희,키움,-0.19,3,0,0,0,0,0,0,0,2.0,5,5,14,6,0,0,2,2,0,0,0,0,0,22.5,19.37,4.0,17.8,19.8,-0.19,0.0
22,김태훈,키움,-0.2,8,0,0,0,1,0,0,3,7.2,6,5,38,9,1,1,1,6,1,0,4,0,0,5.87,5.98,1.96,68.0,65.7,-0.2,-0.28
23,김동혁,키움,-0.39,24,0,0,0,0,4,0,5,27.0,21,21,124,34,7,1,1,7,0,4,19,1,0,7.0,3.67,1.52,57.1,107.9,-0.39,-0.52
24,하영민,키움,-0.43,34,0,0,0,2,1,0,2,28.2,21,17,136,40,5,3,4,14,1,1,28,0,2,5.34,4.7,1.88,74.8,82.6,-0.43,-0.98
25,이영준,키움,-0.44,2,0,0,0,0,1,0,0,1.2,4,4,10,4,0,0,0,1,0,0,0,0,1,21.6,5.17,3.0,18.5,77.6,-0.44,-0.46
26,변시원,키움,-0.54,3,0,0,0,0,0,0,0,2.0,9,9,15,6,2,0,1,1,0,2,1,0,0,40.5,13.37,3.5,9.9,29.0,-0.54,-0.24
27,원종현,키움,-0.69,20,0,0,0,1,1,0,6,18.2,16,12,87,24,8,1,3,5,1,1,17,0,2,5.79,4.44,1.55,69.0,86.9,-0.69,-0.53
