id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa
1,고영표,KT,3.19,17,0,0,16,8,5,0,0,103.2,34,32,417,100,12,3,5,9,1,6,73,0,3,2.78,3.0,1.05,146.7,134.1,3.19,1.89
2,김재윤,KT,1.69,30,0,0,0,3,2,14,0,33.2,8,6,133,21,2,0,1,8,3,1,32,0,2,1.6,2.39,0.86,254.0,169.5,1.69,1.52
3,박영현,KT,1.63,41,0,0,0,2,2,1,16,44.1,13,11,177,31,5,2,2,13,2,2,48,2,0,2.23,2.67,0.99,182.5,151.0,1.63,1.35
4,엄상백,KT,1.22,14,0,0,13,3,6,0,0,73.1,32,31,303,68,11,3,1,21,0,0,60,0,1,3.8,2.77,1.21,107.1,145.5,1.22,0.35
5,배제성,KT,0.56,14,0,0,12,3,6,0,0,69.0,37,32,312,74,10,1,3,36,0,0,47,1,4,4.17,4.14,1.59,97.6,97.0,0.56,-0.42
6,쿠에바스,KT,0.48,5,0,0,5,2,0,0,0,28.1,13,13,119,28,3,0,0,8,1,0,23,0,3,4.13,2.49,1.27,98.7,162.7,0.48,-0.15
7,손동현,KT,0.41,35,0,0,0,3,4,1,4,38.1,19,19,162,43,6,0,4,9,1,2,20,0,1,4.46,4.47,1.36,91.3,89.5,0.41,-0.09
8,이선우,KT,0.39,19,0,0,2,0,1,0,0,28.1,11,10,123,30,4,0,4,6,0,2,22,0,0,3.18,4.5,1.27,128.3,88.7,0.39,-0.16
9,벤자민,KT,0.27,17,0,0,17,9,3,0,0,93.0,55,43,409,94,16,0,12,31,1,2,97,0,3,4.16,4.0,1.34,97.9,100.2,0.27,-0.91
10,주권,KT,0.26,23,0,0,1,1,1,0,2,25.2,13,13,108,22,4,0,2,11,0,2,10,0,0,4.56,5.13,1.29,89.4,78.0,0.26,-0.49
11,전용주,KT,0.11,15,0,0,0,0,1,0,1,10.1,5,5,43,6,4,0,0,6,0,1,9,0,4,4.35,3.66,1.16,93.6,109.8,0.11,0.04
12,김정운,KT,0.04,2,0,0,0,0,0,0,0,2.2,1,1,16,2,1,0,0,4,0,2,2,0,0,3.38,8.62,2.25,120.7,46.3,0.04,0.0
13,조현우,KT,0.01,5,0,0,0,0,0,0,0,3.0,2,2,17,6,1,0,0,2,0,0,1,0,1,6.0,4.71,2.67,67.9,85.4,0.01,0.01
14,박세진,KT,-0.06,11,0,0,0,0,1,0,1,7.2,6,4,46,12,1,0,1,8,0,0,8,0,1,4.7,6.11,2.61,86.8,65.5,-0.06,-0.23
15,김태오,KT,-0.09,5,0,0,0,0,0,0,0,7.1,6,6,35,10,3,0,0,4,1,0,3,0,0,7.36,3.78,1.91,55.3,106.9,-0.09,0.11
16,이상동,KT,-0.11,14,0,0,0,2,0,0,0,14.0,10,10,67,17,4,0,3,9,2,0,12,0,1,6.43,5.94,1.86,63.4,67.3,-0.11,0.21
17,슐서,KT,-0.11,9,0,0,9,1,7,0,0,49.2,32,31,221,66,9,1,6,14,1,0,35,0,2,5.62,4.32,1.61,72.5,92.6,-0.11,-0.89
18,이채호,KT,-0.12,17,0,0,0,0,0,0,1,14.2,12,12,68,18,4,0,5,5,0,1,4,0,1,7.36,8.49,1.57,55.3,46.8,-0.12,-0.31
19,김민,KT,-0.17,9,0,0,0,0,0,0,0,9.2,9,8,52,16,1,0,2,7,0,2,6,0,3,7.45,7.61,2.38,54.7,52.3,-0.17,-0.39
20,김민수,KT,-0.18,13,0,0,0,0,1,0,3,11.2,10,10,53,15,5,2,1,5,0,0,4,0,0,7.71,5.09,1.71,52.8,78.7,-0.18,-0.15
21,심재민,KT,-0.25,4,0,0,0,0,0,0,0,2.0,5,5,16,8,1,0,0,2,0,0,1,0,0,22.5,5.37,5.0,18.1,74.8,-0.25,-0.12
22,김영현,KT,-0.28,16,0,0,0,0,0,0,0,15.2,13,12,75,17,6,0,0,12,1,0,18,0,2,6.89,3.18,1.85,59.1,127.3,-0.28,-0.35
23,조이현,KT,-0.42,8,0,0,2,0,1,0,0,18.0,19,18,95,37,10,1,2,3,0,1,11,1,0,9.0,4.26,2.22,45.3,93.8,-0.42,-0.33
24,소형준,KT,-0.55,3,0,0,3,0,0,0,0,11.0,14,14,59,22,4,0,1,3,0,3,4,0,2,11.45,5.46,2.27,35.6,73.0,-0.55,-0.52
