id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa
1,플럿코,LG,3.4,17,0,0,17,11,1,0,0,102.0,28,25,417,91,19,3,4,21,0,3,82,0,1,2.21,2.98,1.1,179.1,132.9,3.4,1.77
2,함덕주,LG,2.1,42,0,0,0,3,0,3,12,42.1,8,6,164,22,5,0,1,15,1,1,44,0,0,1.28,2.66,0.87,309.6,149.7,2.1,1.86
3,임찬규,LG,1.58,17,0,0,13,6,2,0,1,79.0,32,28,333,69,6,1,5,29,0,1,55,0,1,3.19,3.94,1.24,123.8,99.9,1.58,0.99
4,김진성,LG,1.14,41,0,0,0,2,1,0,7,36.2,11,11,145,20,4,0,4,16,0,0,37,0,0,2.7,4.08,0.98,146.3,95.3,1.14,0.38
5,박명근,LG,0.75,36,0,0,1,4,0,5,5,36.0,15,13,157,29,6,1,0,17,2,5,29,0,0,3.25,3.43,1.28,121.5,117.4,0.75,0.93
6,고우석,LG,0.71,20,0,0,0,2,3,7,0,19.1,6,6,83,15,3,0,1,13,0,0,30,0,2,2.79,2.96,1.45,141.4,133.4,0.71,0.18
7,유영찬,LG,0.65,32,0,0,0,4,1,0,4,36.0,15,15,160,27,6,1,1,24,0,4,29,0,6,3.75,4.46,1.42,105.3,89.5,0.65,0.31
8,이우찬,LG,0.56,18,0,0,0,1,1,0,2,20.2,6,6,84,20,2,0,1,10,0,1,12,1,2,2.61,4.44,1.45,151.2,89.3,0.56,0.25
9,최동환,LG,0.54,22,0,0,0,0,0,0,0,21.1,6,6,91,16,6,0,1,7,0,3,14,0,0,2.53,4.08,1.08,156.0,97.2,0.54,-0.14
10,백승현,LG,0.37,9,0,0,0,0,0,1,1,8.2,2,2,32,4,0,0,0,2,0,0,10,0,0,2.08,1.76,0.69,190.2,230.5,0.37,0.78
11,켈리,LG,0.21,18,0,0,18,6,5,0,0,107.1,61,53,458,115,21,2,6,26,0,4,71,0,4,4.44,3.62,1.31,88.9,109.1,0.21,-0.68
12,이상규,LG,0.17,7,0,0,0,0,0,0,0,6.2,2,2,31,7,0,0,0,5,0,0,5,0,1,2.7,4.12,1.8,146.3,97.5,0.17,0.17
13,송은범,LG,0.1,4,0,0,0,0,0,0,0,3.2,1,1,17,6,0,0,0,3,0,0,2,0,0,2.45,4.74,2.46,160.9,84.8,0.1,-0.1
14,진해수,LG,0.09,19,0,0,0,0,0,0,2,14.2,8,5,72,18,3,0,2,10,0,0,12,0,3,3.07,5.56,1.91,128.7,70.1,0.09,-0.44
15,오석주,LG,0.04,3,0,0,0,0,0,0,0,4.0,2,2,15,4,1,0,1,0,0,0,4,0,0,4.5,4.62,1.0,87.8,81.3,0.04,0.04
16,송승기,LG,0.04,1,0,0,0,0,0,0,0,1.0,0,0,5,1,0,0,0,1,0,0,0,0,0,0.0,6.37,2.0,,62.9,0.04,0.0
17,채지선,LG,0.02,1,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,3.37,0.0,,119.3,0.02,0.0
18,김윤식,LG,-0.01,11,0,0,11,3,4,0,0,49.1,29,29,220,61,8,2,4,20,0,2,30,0,3,5.29,4.55,1.64,74.7,86.3,-0.01,-0.46
19,성동현,LG,-0.02,1,0,0,0,0,0,0,0,1.0,1,1,6,2,0,0,0,1,0,0,1,0,0,9.0,4.37,3.0,43.9,91.9,-0.02,-0.0
20,김영준,LG,-0.05,1,0,0,0,1,0,0,0,0.1,1,1,3,1,0,0,0,1,0,0,0,0,0,27.0,12.37,6.0,14.6,32.4,-0.05,-0.03
21,배재준,LG,-0.06,1,0,0,0,0,0,0,0,1.0,2,2,6,2,0,1,0,1,0,0,0,0,1,18.0,6.37,3.0,21.9,62.9,-0.06,-0.0
22,김동규,LG,-0.09,1,0,0,0,0,0,0,0,0.1,2,1,6,0,0,0,0,3,0,1,0,0,0,27.0,39.37,9.0,14.6,10.2,-0.09,-0.01
23,김대현,LG,-0.09,2,0,0,0,0,0,0,0,2.0,3,2,14,6,1,0,1,0,0,1,1,0,1,9.0,10.37,3.0,43.9,36.3,-0.09,-0.03
24,이민호,LG,-0.18,5,0,0,5,0,2,0,0,19.2,13,11,91,22,4,0,1,10,0,0,7,0,0,5.03,4.85,1.63,78.5,81.7,-0.18,-0.43
25,이상영,LG,-0.19,2,0,0,2,0,1,0,0,5.1,5,4,29,6,3,0,0,5,0,2,2,0,0,6.75,6.56,2.06,58.5,61.1,-0.19,-0.19
26,최성훈,LG,-0.21,3,0,0,0,0,0,0,0,2.0,5,5,13,6,1,0,0,1,0,0,1,0,0,22.5,3.87,3.5,17.6,103.8,-0.21,-0.02
27,강효종,LG,-0.22,5,0,0,5,1,1,0,0,16.2,12,10,76,17,3,0,0,9,0,2,11,1,0,5.4,4.03,1.56,73.1,99.7,-0.22,-0.27
28,이정용,LG,-0.48,26,0,0,3,3,1,3,1,29.0,21,19,138,40,6,0,4,8,0,1,21,0,3,5.9,4.65,1.66,67.0,83.2,-0.48,-1.51
29,이지강,LG,-0.5,11,0,0,6,0,3,0,0,31.2,25,16,142,27,1,0,3,16,0,5,19,0,1,4.55,5.39,1.36,86.9,72.8,-0.5,-0.53
30,정우영,LG,-0.68,41,0,0,0,2,4,0,11,35.1,26,16,164,41,9,0,0,9,0,11,28,0,1,4.08,3.49,1.42,96.9,115.4,-0.68,-1.12
