id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa
1,박세웅,롯데,2.79,15,0,0,15,4,3,0,0,88.1,32,29,368,77,15,0,3,32,1,3,70,0,4,2.95,3.38,1.23,136.8,118.6,2.79,1.31
2,나균안,롯데,2.21,16,0,0,16,6,3,0,0,92.0,34,33,392,93,15,1,5,29,1,3,73,0,4,3.23,3.5,1.33,125.2,114.1,2.21,1.15
3,김원중,롯데,1.21,35,0,0,0,5,1,16,0,35.0,12,11,147,29,2,2,1,16,1,3,41,0,2,2.83,2.94,1.29,142.9,136.3,1.21,0.77
4,스트레일리,롯데,0.67,16,0,0,16,3,5,0,0,80.1,43,39,364,82,8,1,6,37,0,10,70,0,4,4.37,4.36,1.48,92.5,91.7,0.67,-0.27
5,반즈,롯데,0.6,16,0,0,16,5,6,0,0,82.2,45,42,364,85,19,0,6,31,0,9,72,0,0,4.57,4.03,1.4,88.4,99.1,0.6,0.01
6,최준용,롯데,0.56,13,0,0,0,0,1,0,3,11.1,2,2,50,15,1,0,0,2,0,0,8,0,1,1.59,2.49,1.5,254.5,162.0,0.56,-0.1
7,김상수,롯데,0.46,38,0,0,0,3,1,1,8,29.2,14,14,129,28,3,1,1,13,0,2,21,0,0,4.25,3.91,1.38,95.2,102.6,0.46,0.26
8,구승민,롯데,0.31,39,0,0,0,0,4,3,12,36.1,19,16,172,38,4,0,4,24,0,2,37,0,2,3.96,4.91,1.71,102.0,81.2,0.31,-0.59
9,최이준,롯데,0.28,20,0,0,0,1,0,0,1,20.2,10,10,98,24,6,2,1,13,1,0,14,0,3,4.35,4.39,1.79,92.8,91.4,0.28,0.26
10,정성종,롯데,0.25,9,0,0,1,0,0,0,1,13.0,6,6,56,12,2,0,1,7,1,1,9,0,0,4.15,4.6,1.46,97.3,86.7,0.25,0.22
11,신정락,롯데,0.24,17,0,0,0,2,0,0,0,15.1,7,7,66,16,4,0,2,3,2,3,12,0,0,4.11,4.29,1.24,98.4,92.0,0.24,-0.02
12,심재민,롯데,0.11,6,0,0,0,1,0,0,2,3.2,1,1,20,6,2,0,0,2,0,1,3,0,0,2.45,4.19,2.18,164.7,96.0,0.11,0.04
13,이민석,롯데,0.1,1,0,0,0,0,0,0,0,1.1,0,0,5,0,0,0,0,1,0,0,1,0,0,0.0,4.12,0.75,,98.2,0.1,0.1
14,박영완,롯데,0.04,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,1,0,0,1,0,0,0.0,4.37,1.0,,92.7,0.04,0.01
15,김강현,롯데,0.02,1,0,0,0,0,0,0,0,2.0,1,1,8,1,0,0,0,1,0,0,0,0,0,4.5,4.87,1.0,89.8,82.8,0.02,-0.01
16,문경찬,롯데,0.0,1,0,0,0,0,1,0,0,0.0,3,3,3,3,0,0,1,0,0,0,0,0,0,,,,,,0.0,-0.8
17,김창훈,롯데,-0.01,1,0,0,0,0,0,0,0,1.1,1,1,7,3,0,1,0,0,0,0,1,0,0,6.75,1.87,2.25,59.9,215.0,-0.01,-0.01
18,장세진,롯데,-0.09,2,0,0,0,0,0,0,0,1.1,2,2,8,2,0,0,1,2,0,0,1,0,0,13.5,16.12,3.0,29.9,24.4,-0.09,-0.02
19,박진,롯데,-0.09,4,0,0,0,0,0,0,0,5.0,5,5,29,7,2,0,1,7,0,0,2,1,1,9.0,9.37,2.8,44.9,42.6,-0.09,-0.07
20,김진욱,롯데,-0.09,37,0,0,0,2,1,0,8,28.0,18,17,134,27,4,0,2,22,0,1,29,0,2,5.46,4.69,1.75,74.0,85.4,-0.09,-0.41
21,진승현,롯데,-0.1,13,0,0,0,1,0,0,1,16.2,13,12,74,21,1,0,1,4,1,0,15,0,1,6.48,2.89,1.5,62.4,137.7,-0.1,0.15
22,최영환,롯데,-0.1,3,0,0,0,0,0,0,0,3.2,4,4,16,5,3,0,0,2,0,0,2,0,0,9.82,3.92,1.91,41.2,103.2,-0.1,-0.15
23,나원탁,롯데,-0.11,1,0,0,0,0,0,0,0,0.2,3,3,6,3,0,0,1,1,0,0,1,0,0,40.5,24.37,6.0,10.0,16.0,-0.11,-0.0
24,이진하,롯데,-0.13,3,0,0,0,0,0,0,0,1.1,3,3,8,2,1,0,0,0,0,1,0,0,0,20.25,5.62,1.5,20.0,70.9,-0.13,-0.05
25,이인복,롯데,-0.22,4,0,0,2,1,1,0,0,13.2,11,8,67,20,3,1,0,3,0,3,4,0,2,5.27,4.1,1.68,76.7,97.8,-0.22,-0.54
26,이태연,롯데,-0.32,13,0,0,0,0,0,0,1,4.2,7,7,28,7,2,0,1,8,0,0,3,0,0,13.5,10.02,3.21,29.9,39.9,-0.32,-0.22
27,김도규,롯데,-0.38,24,0,0,0,0,3,1,1,18.2,15,15,83,18,5,0,1,8,0,0,16,0,5,7.23,3.64,1.39,55.9,110.1,-0.38,-1.12
28,윤명준,롯데,-0.39,16,0,0,0,0,1,0,4,14.0,12,12,72,24,2,1,3,8,2,2,9,0,3,7.71,6.59,2.29,52.4,60.0,-0.39,-0.71
29,한현희,롯데,-0.51,21,0,0,11,4,8,0,3,63.2,45,42,301,80,13,2,8,33,0,7,49,0,3,5.94,5.35,1.78,68.1,74.4,-0.51,-0.93
