id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa
1,페디,NC,3.84,15,0,0,15,12,2,0,0,89.2,20,17,358,68,6,0,6,23,0,2,109,0,3,1.71,2.65,1.02,234.5,153.5,3.84,2.28
2,류진욱,NC,1.35,31,0,0,0,0,3,0,8,30.1,6,6,114,12,1,2,0,15,0,1,26,0,0,1.78,3.24,0.89,224.8,124.5,1.35,0.45
3,구창모,NC,1.07,9,0,0,9,1,3,0,0,47.0,19,17,188,37,3,0,4,14,0,0,54,0,0,3.26,3.08,1.09,122.9,132.3,1.07,0.86
4,김영규,NC,1.07,35,0,0,0,0,3,0,13,36.1,13,13,141,22,1,2,0,15,0,0,30,2,2,3.22,2.96,1.02,124.3,136.3,1.07,1.08
5,최성영,NC,1.06,7,0,0,4,4,0,0,0,28.0,8,8,121,27,6,2,1,13,0,2,18,0,0,2.57,4.16,1.43,155.6,97.2,1.06,0.38
6,이재학,NC,1.01,6,0,0,6,2,1,0,0,33.1,12,10,135,14,2,0,1,17,0,1,23,0,2,2.7,4.0,0.93,148.2,101.0,1.01,0.44
7,김진호,NC,0.55,19,0,0,0,2,1,0,9,16.1,5,5,73,15,2,0,0,10,0,1,22,0,3,2.76,2.7,1.53,145.3,149.7,0.55,0.27
8,김시훈,NC,0.54,36,0,0,0,3,1,3,10,31.0,14,12,141,31,6,1,2,18,0,0,37,0,3,3.48,3.57,1.58,114.9,113.9,0.54,-0.48
9,조민석,NC,0.37,28,0,0,0,1,0,0,4,26.1,12,11,110,24,7,0,2,11,0,1,25,0,1,3.76,3.83,1.33,106.5,106.0,0.37,0.09
10,신민혁,NC,0.35,14,0,0,13,3,4,0,0,60.2,33,26,267,64,11,0,9,17,0,4,52,0,2,3.86,4.63,1.34,103.8,88.0,0.35,-0.47
11,전사민,NC,0.32,8,0,0,0,0,2,1,0,14.2,6,5,70,16,1,0,0,10,1,2,6,0,0,3.07,4.81,1.77,130.4,83.8,0.32,-0.15
12,임정호,NC,0.25,35,0,0,0,0,1,0,6,25.2,13,11,113,23,4,0,3,13,0,2,22,1,3,3.86,4.93,1.4,103.8,82.3,0.25,-0.34
13,이용준,NC,0.17,14,0,0,12,3,4,0,0,54.1,30,25,246,50,9,0,4,34,0,2,42,0,1,4.14,4.77,1.55,96.6,84.9,0.17,-0.5
14,하준영,NC,0.17,33,0,0,0,1,0,0,2,29.0,16,16,129,33,2,1,3,12,0,0,29,0,0,4.97,3.96,1.55,80.6,102.7,0.17,-0.94
15,이용찬,NC,0.14,29,0,0,0,2,2,12,0,29.2,16,16,127,30,4,0,3,11,1,0,28,0,2,4.85,3.81,1.38,82.5,106.6,0.14,-0.09
16,송명기,NC,0.03,20,0,0,9,2,6,0,0,58.2,36,32,275,67,8,1,7,30,0,7,39,0,3,4.91,5.49,1.65,81.5,73.9,0.03,-0.65
17,김태현,NC,0.02,4,0,0,0,0,0,0,0,6.0,4,4,26,7,0,0,2,3,0,0,2,0,0,6.0,8.54,1.67,66.7,47.8,0.02,-0.04
18,심창민,NC,0.01,5,0,0,0,0,1,0,0,3.1,2,1,18,2,0,0,0,5,0,1,5,0,0,2.7,5.77,2.1,148.2,70.0,0.01,0.05
19,임지민,NC,-0.06,2,0,0,0,0,0,0,0,1.1,2,2,10,2,0,0,0,4,0,0,3,0,2,13.5,7.87,4.5,29.6,51.6,-0.06,0.0
20,정구범,NC,-0.07,2,0,0,0,0,0,0,0,4.0,4,4,21,5,3,0,1,4,0,0,3,0,0,9.0,8.12,2.25,44.5,50.1,-0.07,-0.03
21,배민서,NC,-0.19,6,0,0,0,0,0,0,0,6.2,8,5,34,10,5,2,0,2,0,1,4,0,1,6.75,3.52,1.8,59.3,114.2,-0.19,-0.13
22,와이드너,NC,-0.22,8,0,0,8,3,2,0,0,44.2,29,25,192,37,8,0,3,21,1,3,43,0,1,5.04,3.87,1.3,79.4,104.8,-0.22,-0.27
23,이준호,NC,-0.47,10,0,0,2,0,2,0,0,19.2,18,13,94,22,3,0,1,11,0,3,10,0,2,5.95,5.15,1.68,67.3,78.4,-0.47,-0.24
