id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa
1,서진용,SSG,2.37,37,0,0,0,1,0,24,0,37.1,7,5,168,28,3,0,1,27,1,3,38,0,1,1.21,4.02,1.47,340.7,101.9,2.37,2.65
2,맥카티,SSG,1.91,13,0,0,13,7,3,0,0,75.0,27,21,303,57,5,0,4,25,0,1,66,0,4,2.52,3.35,1.09,163.0,122.8,1.91,1.08
3,김광현,SSG,1.45,14,0,0,14,5,2,0,0,76.0,32,31,321,72,11,0,8,32,0,0,61,0,2,3.67,4.4,1.37,111.9,93.9,1.45,0.71
4,고효준,SSG,1.07,38,0,0,0,3,1,0,7,31.2,9,9,134,20,1,0,2,23,0,0,35,0,1,2.56,4.16,1.36,160.6,98.9,1.07,0.82
5,최민준,SSG,0.95,29,0,0,0,4,2,1,6,35.0,13,12,149,36,4,0,4,12,0,0,21,0,1,3.09,4.69,1.37,133.1,88.0,0.95,-0.03
6,노경은,SSG,0.8,39,0,0,0,5,3,2,18,41.0,18,18,185,44,9,1,3,21,3,3,29,0,3,3.95,4.45,1.59,103.9,92.4,0.8,0.63
7,문승원,SSG,0.65,27,0,0,4,2,3,1,5,48.2,25,23,218,61,15,0,4,15,1,1,33,0,2,4.25,4.01,1.56,96.6,102.7,0.65,-0.48
8,엘리아스,SSG,0.57,8,0,0,8,4,3,0,0,47.0,23,22,204,54,10,0,5,16,1,2,41,0,0,4.21,4.1,1.49,97.5,101.1,0.57,0.29
9,박민호,SSG,0.27,10,0,0,0,0,0,0,0,10.0,3,1,47,14,1,0,0,1,0,2,4,0,0,0.9,3.47,1.5,456.3,116.9,0.27,0.14
10,임준섭,SSG,0.25,26,0,0,0,0,0,0,2,23.1,12,10,109,29,1,0,1,15,1,0,21,0,1,3.86,3.93,1.89,106.5,104.1,0.25,0.03
11,오원석,SSG,0.24,16,1,0,16,5,6,0,0,84.2,50,46,371,86,8,2,8,36,0,4,56,0,6,4.89,4.7,1.44,84.0,87.7,0.24,-0.34
12,신헌민,SSG,0.21,7,0,0,0,0,0,0,0,8.1,2,2,36,9,0,0,1,2,0,0,5,0,0,2.16,4.45,1.32,190.1,92.8,0.21,0.02
13,이건욱,SSG,0.21,8,0,0,1,0,0,0,0,15.0,6,6,66,15,4,0,0,8,1,1,9,0,1,3.6,3.77,1.53,114.1,107.5,0.21,-0.06
14,백승건,SSG,0.11,24,0,0,2,2,1,0,3,36.2,22,19,162,37,5,0,7,17,0,0,28,0,0,4.66,5.72,1.47,88.1,72.8,0.11,0.44
15,한두솔,SSG,-0.01,1,0,0,0,0,0,0,0,1.0,1,1,6,1,0,1,0,1,0,1,2,0,0,9.0,5.37,2.0,45.6,77.4,-0.01,-0.01
16,이기순,SSG,-0.06,1,0,0,0,0,0,0,0,2.0,3,3,11,3,0,0,1,2,0,0,2,0,0,13.5,10.87,2.5,30.4,38.7,-0.06,-0.01
17,조성훈,SSG,-0.08,2,0,0,2,0,1,0,0,7.0,5,5,34,10,1,0,0,4,0,2,4,0,0,6.43,4.8,2.0,63.9,84.8,-0.08,-0.1
18,정성곤,SSG,-0.15,2,0,0,0,0,0,0,0,1.2,4,1,13,2,1,0,0,4,0,0,1,0,0,5.4,9.37,3.6,76.0,43.3,-0.15,-0.08
19,이로운,SSG,-0.22,25,0,0,0,3,0,0,4,33.1,25,23,158,43,8,1,3,16,0,0,30,0,2,6.21,4.18,1.77,66.1,98.7,-0.22,0.05
20,송영진,SSG,-0.33,9,0,0,6,3,1,0,0,30.1,23,18,143,28,8,1,1,23,0,1,23,2,5,5.34,4.66,1.68,76.9,87.6,-0.33,-0.75
21,박종훈,SSG,-0.68,13,0,0,13,1,6,0,0,61.1,45,43,293,63,11,1,6,44,0,12,42,0,2,6.31,6.01,1.75,65.1,68.4,-0.68,-1.22
