id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa
1,뷰캐넌,삼성,2.51,17,1,0,17,7,6,0,0,109.1,45,35,458,102,18,1,3,23,0,3,96,0,3,2.88,2.69,1.14,141.7,149.5,2.51,1.11
2,원태인,삼성,1.83,15,0,0,15,4,5,0,0,90.2,37,32,383,94,15,0,10,26,0,2,58,1,2,3.18,4.45,1.32,128.5,91.6,1.83,0.64
3,백정현,삼성,1.3,13,0,0,13,4,5,0,0,70.2,32,31,298,63,13,1,4,27,2,0,49,1,1,3.95,3.78,1.27,103.4,107.1,1.3,0.17
4,수아레즈,삼성,0.89,16,0,0,16,3,7,0,0,94.0,49,42,419,114,14,1,3,27,0,2,76,0,4,4.02,3.1,1.5,101.5,130.0,0.89,-0.01
5,김대우,삼성,0.5,25,0,0,1,0,1,0,4,33.0,16,14,142,31,5,0,3,11,1,1,32,0,0,3.82,3.62,1.27,106.9,112.6,0.5,-0.3
6,이재익,삼성,0.42,18,0,0,0,0,0,0,1,18.0,6,5,77,14,2,0,1,9,1,0,10,0,1,2.5,4.32,1.28,163.3,93.9,0.42,-0.21
7,이승현,삼성,0.36,33,0,0,0,1,4,5,5,31.2,16,16,142,30,4,0,3,17,1,2,28,0,2,4.55,4.54,1.48,89.8,89.4,0.36,-0.82
8,문용익,삼성,0.35,12,0,0,0,1,0,0,0,12.0,3,3,51,8,1,0,0,8,0,1,10,0,3,2.25,3.96,1.33,181.4,100.9,0.35,0.04
9,이호성,삼성,0.19,3,0,0,0,0,0,0,0,7.0,2,2,26,3,2,0,0,4,0,0,4,0,1,2.57,3.94,1.0,158.8,101.6,0.19,-0.11
10,이재희,삼성,0.15,2,0,0,1,0,0,0,0,8.0,3,3,33,4,1,0,1,5,0,0,5,0,1,3.38,5.62,1.13,121.0,72.5,0.15,-0.06
11,황동재,삼성,0.08,3,0,0,3,0,2,0,0,14.2,9,8,67,13,6,1,3,10,0,1,11,0,0,4.91,6.78,1.57,83.2,60.4,0.08,-0.22
12,최지광,삼성,0.03,6,0,0,0,0,0,0,0,5.1,3,3,24,4,1,0,0,3,0,0,5,0,0,5.06,3.19,1.31,80.6,125.3,0.03,-0.19
13,박세웅,삼성,0.03,1,0,0,0,0,0,0,0,0.2,0,0,4,0,0,0,0,2,0,0,1,0,0,0.0,9.37,3.0,,42.7,0.03,0.0
14,오승환,삼성,0.02,26,0,0,1,2,3,10,2,30.0,17,16,134,36,9,1,7,8,0,2,20,0,0,4.8,6.07,1.47,85.1,67.9,0.02,-0.5
15,이승현,삼성,0.01,34,0,0,0,2,2,0,6,33.0,20,16,147,40,8,0,3,7,1,0,25,0,2,4.36,3.59,1.42,93.6,113.8,0.01,-0.16
16,노건우,삼성,-0.05,2,0,0,0,0,0,0,0,2.0,2,1,10,4,1,0,0,0,0,0,0,0,0,4.5,3.37,2.0,90.7,119.3,-0.05,-0.08
17,최충연,삼성,-0.1,7,0,0,0,0,0,0,0,9.1,8,5,47,10,1,0,3,7,0,3,8,1,0,4.82,9.05,1.82,84.7,45.4,-0.1,-0.03
18,우규민,삼성,-0.11,29,0,0,0,2,0,0,6,22.2,15,13,100,29,5,0,2,1,0,2,19,0,0,5.16,3.24,1.32,79.1,125.6,-0.11,0.17
19,장필준,삼성,-0.22,3,0,0,2,0,0,0,0,6.0,6,6,34,10,2,0,1,4,0,2,4,0,0,9.0,7.21,2.33,45.4,56.4,-0.22,-0.3
20,이상민,삼성,-0.27,16,0,0,0,2,0,0,1,15.0,12,12,65,22,3,1,2,2,0,0,17,0,0,7.2,3.24,1.6,56.7,126.8,-0.27,-0.17
21,허윤동,삼성,-0.3,7,0,0,1,0,1,0,0,10.2,12,12,60,16,7,0,0,12,0,0,8,0,0,10.13,5.25,2.63,40.3,76.3,-0.3,-0.44
22,최하늘,삼성,-0.43,1,0,0,1,0,1,0,0,1.1,7,7,12,7,4,0,1,1,0,0,0,0,0,47.25,15.37,6.0,8.6,27.1,-0.43,-0.48
23,최채흥,삼성,-0.45,5,0,0,5,0,2,0,0,19.2,18,17,99,33,2,1,4,7,0,0,11,0,0,7.78,5.97,2.03,52.5,69.0,-0.45,-0.56
24,김태훈,삼성,-0.56,28,0,0,0,1,3,2,2,26.0,21,21,118,26,8,1,2,17,1,0,13,0,1,7.27,5.22,1.65,56.2,77.8,-0.56,-0.93
25,양창섭,삼성,-0.69,13,0,0,4,0,3,0,2,26.0,26,26,128,41,5,1,6,15,1,1,9,0,2,9.0,7.41,2.15,45.4,55.5,-0.69,-0.88
26,홍정우,삼성,-0.77,18,0,0,0,2,3,0,1,16.0,17,16,79,19,1,1,3,11,2,0,9,0,1,9.0,6.37,1.88,45.4,64.5,-0.77,-0.94
