id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa,wOBA
1,알칸타라,두산,3.66,17,0,0,17,9,3,0,0,106.2,30,24,417,83,18,0,7,17,0,1,107,0,2,2.03,2.73,0.94,192.5,141.8,3.66,2.62,
2,곽빈,두산,2.53,12,0,0,12,8,2,0,0,65.0,18,15,262,39,10,1,1,33,0,2,50,0,2,2.08,3.65,1.11,187.7,109.5,2.53,1.92,
3,브랜든,두산,1.31,4,0,0,4,2,1,0,0,26.0,4,3,100,17,0,0,1,5,0,3,26,0,0,1.04,2.8,0.85,375.3,140.1,1.31,0.95,
4,홍건희,두산,1.09,36,0,0,0,0,3,20,1,35.0,12,9,155,40,7,3,0,11,2,0,27,0,4,2.31,2.6,1.46,168.4,155.1,1.09,0.03,
5,박치국,두산,1.03,40,0,0,0,3,0,2,9,34.0,11,11,149,34,7,0,1,11,1,3,31,0,2,2.91,3.08,1.32,133.9,128.5,1.03,1.15,
6,김동주,두산,1.0,11,0,0,11,2,4,0,0,51.2,20,19,222,56,12,4,3,14,0,3,45,0,3,3.31,3.37,1.36,117.8,115.8,1.0,0.49,
7,김명신,두산,0.97,35,0,0,0,2,2,0,8,43.1,16,14,181,40,7,0,1,13,1,3,36,0,0,2.91,3.05,1.22,134.0,130.2,0.97,0.96,
8,정철원,두산,0.38,39,0,0,0,5,2,2,11,40.2,20,17,170,31,1,0,4,18,1,1,34,0,4,3.76,4.31,1.21,103.6,90.1,0.38,1.76,
9,백승우,두산,0.21,6,0,0,0,0,0,0,0,4.0,0,0,18,3,0,0,0,3,0,1,1,0,0,0.0,5.87,1.5,,68.3,0.21,-0.1,
10,최원준,두산,0.07,14,0,0,14,2,7,0,0,72.2,42,41,321,80,24,1,7,20,0,11,53,0,1,5.08,4.45,1.38,76.8,87.1,0.07,-0.23,
11,김민규,두산,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,1,1,0,0,0,0,0,0,0,0,0.0,3.37,1.0,,119.3,0.04,0.0,
12,이형범,두산,-0.01,18,0,0,0,1,0,0,1,22.0,14,12,105,31,8,0,1,9,0,1,11,0,2,4.91,4.33,1.82,79.4,91.4,-0.01,-0.25,
13,박정수,두산,-0.01,17,0,0,0,1,0,0,0,25.2,17,14,116,28,9,0,1,9,1,6,22,0,2,4.91,3.8,1.44,79.4,103.6,-0.01,0.15,
14,김정우,두산,-0.03,5,0,0,0,0,0,0,0,4.2,4,4,22,5,1,0,1,3,0,0,5,0,0,7.71,5.94,1.71,50.5,63.9,-0.03,-0.02,
15,고봉재,두산,-0.03,10,0,0,0,0,0,0,0,11.1,8,8,53,12,2,1,0,7,0,1,7,0,0,6.35,4.26,1.68,61.4,94.5,-0.03,-0.21,
16,박신지,두산,-0.09,6,0,0,1,0,0,0,0,8.2,6,6,47,13,5,0,1,7,0,1,4,0,1,6.23,6.72,2.31,62.6,58.2,-0.09,-0.49,
17,김호준,두산,-0.1,3,0,0,0,0,0,0,0,3.0,4,4,16,3,0,0,1,4,0,0,2,0,1,12.0,10.37,2.33,32.5,36.9,-0.1,0.0,
18,이영하,두산,-0.13,15,0,0,0,1,2,0,4,14.0,9,9,68,15,2,0,2,9,1,2,11,0,1,5.79,5.8,1.71,67.4,66.6,-0.13,-0.66,
19,장원준,두산,-0.13,5,0,0,5,3,2,0,0,21.1,14,13,95,28,6,1,0,4,0,2,17,0,0,5.48,2.62,1.5,71.1,152.8,-0.13,-0.29,
20,이승진,두산,-0.15,1,0,0,0,0,0,0,0,0.2,4,0,6,1,0,0,0,1,0,1,1,0,0,0.0,9.37,3.0,,42.3,-0.15,-0.0,
21,이병헌,두산,-0.17,24,0,0,0,0,0,0,5,14.0,10,8,69,14,4,0,1,14,0,0,14,0,2,5.14,5.3,2.0,75.8,74.4,-0.17,-0.76,
22,김유성,두산,-0.21,4,0,0,0,0,0,0,0,4.0,6,6,28,4,0,0,2,11,0,0,4,0,2,13.5,16.12,3.75,28.9,23.7,-0.21,-0.24,
23,이원재,두산,-0.22,1,0,0,1,0,0,0,0,1.0,3,3,9,3,1,0,0,3,0,0,0,0,0,27.0,12.37,6.0,14.4,32.7,-0.22,-0.31,
24,최지강,두산,-0.24,17,0,0,0,1,1,0,2,14.1,11,11,70,11,2,0,0,15,0,0,9,0,0,6.91,5.26,1.81,56.4,76.8,-0.24,0.33,
25,김강률,두산,-0.34,6,0,0,0,0,0,0,1,4.0,6,6,20,7,1,0,1,1,0,0,1,0,0,13.5,6.87,2.0,28.9,55.2,-0.34,-0.11,
26,딜런,두산,-0.34,2,0,0,2,0,1,0,0,9.0,9,8,45,10,1,0,2,5,0,0,2,0,1,8.0,7.48,1.67,48.7,51.3,-0.34,-0.34,
27,최승용,두산,-0.48,19,0,0,12,2,6,0,0,63.2,44,39,290,77,8,0,8,21,0,3,48,0,2,5.51,4.63,1.54,70.7,83.1,-0.48,-0.86,
1,페냐,한화,2.89,17,0,0,17,7,5,0,0,98.2,35,31,407,79,15,1,8,32,0,8,82,1,11,2.83,3.98,1.13,143.2,101.8,2.89,0.88,
2,문동주,한화,1.92,16,0,0,16,6,6,0,0,83.0,33,32,344,73,16,1,2,30,0,3,77,1,3,3.47,3.02,1.24,116.7,133.6,1.92,0.17,
3,이태양,한화,1.43,31,0,0,2,1,0,0,2,43.0,12,11,178,35,12,1,1,10,0,1,36,0,0,2.3,2.77,1.05,175.9,145.8,1.43,0.67,
4,산체스,한화,1.43,10,0,0,10,5,1,0,0,51.2,18,15,213,50,8,0,0,11,0,3,41,0,1,2.61,2.6,1.18,155.0,155.0,1.43,0.75,
5,박상원,한화,1.37,28,0,0,0,4,0,7,0,31.1,9,8,130,20,2,1,1,16,1,3,27,0,1,2.3,3.79,1.15,176.3,106.7,1.37,1.15,
6,윤대경,한화,1.09,26,0,0,0,2,0,0,2,29.0,6,6,114,20,4,0,3,8,0,3,14,0,1,1.86,4.89,0.97,217.5,82.9,1.09,0.39,
7,김범수,한화,0.99,37,0,0,0,3,2,0,9,30.0,11,10,133,27,4,0,1,17,2,2,23,0,0,3.0,3.97,1.47,135.0,101.8,0.99,0.47,
8,한승주,한화,0.79,29,0,0,2,1,2,0,2,41.1,17,16,182,46,7,1,5,18,2,1,36,0,4,3.48,4.44,1.55,116.3,91.5,0.79,-0.11,
9,정우람,한화,0.64,32,0,0,0,0,1,0,5,25.2,10,10,108,22,4,0,2,10,0,1,18,0,1,3.51,4.27,1.25,115.5,94.9,0.64,1.02,
10,주현상,한화,0.56,16,0,0,0,0,1,0,2,18.1,5,5,77,13,0,1,0,9,1,0,21,0,0,2.45,2.39,1.2,165.0,168.7,0.56,0.37,
11,강재민,한화,0.48,36,0,0,0,1,3,0,11,36.2,18,18,151,21,4,1,3,16,0,6,35,0,0,4.42,4.33,1.01,91.7,93.7,0.48,-0.4,
